Id,Title,Description,Points
111000024,"[DEBUG]","Level stats",0
419778,"The Commandos Have Invaded Gorgon!","Complete Gorgon without using passwords",2
419799,"[HARD] The Commandos Have Invaded Gorgon!","Complete Gorgon on Hard difficulty",5
419792,"Use the Spirit Wells to Traverse This Realm","Collect all secrets and talismans in Gorgon",3
419779,"The Dimensional Temple Is Under Attack!","Complete Dimensional Temple without using passwords",2
419800,"[HARD] The Dimensional Temple Is Under Attack!","Complete Dimensional Temple on Hard difficulty",5
419807,"TODO 1","Collect all secrets and talismans in Dimensional Temple",3
419780,"The Flagship of the Gorgonite Fleet Is Under Siege!","Complete Floating Fortress without using passwords",2
419801,"[HARD] The Flagship of the Gorgonite Fleet Is Under Siege!","Complete Floating Fortress on Hard difficulty",5
419813,"TODO 2","Collect all secrets and talismans in Floating Fortress",3
419781,"Commando Invaders Are Defiling This Realm!","Complete Spirit Bog without using passwords",2
419789,"[HARD] Commando Invaders Are Defiling This Realm!","Complete Spirit Bog on Hard difficulty",5
419793,"TODO 3","Collect all secrets and talismans in Spirit Bog",3
419782,"The Commandos Are Raiding the Village!","Complete Canyon Village without using passwords",2
419802,"[HARD] The Commandos Are Raiding the Village!","Complete Canyon Village on Hard difficulty",5
419814,"TODO 4","Collect all secrets and talismans in Canyon Village",3
419783,"The Commandos Are Mining Gorgonite Ore!","Complete Creepy Caverns without using passwords",2
419803,"[HARD] The Commandos Are Mining Gorgonite Ore!","Complete Creepy Caverns on Hard difficulty",5
419815,"TODO 5","Collect all secrets and talismans in Creepy Caverns",3
419784,"The Space Ship Devastator Is a Planet Killer!","Complete Space Ship without using passwords",2
419804,"[HARD] The Space Ship Devastator Is a Planet Killer!","Complete Space Ship on Hard difficulty",5
419794,"TODO 6","Collect all secrets and talismans in Space Ship",3
419785,"The Commandos Are Testing a Secret Super-Weapon!","Complete Hall of Patriots without using passwords",2
419805,"[HARD] The Commandos Are Testing a Secret Super-Weapon!","Complete Hall of Patriots on Hard difficulty",5
419816,"TODO 7","Collect all secrets and talismans in Hall of Patriots",3
419786,"The Commandos Are Fueling Their Weapons of War!","Complete Graveyard of War without using passwords",2
419790,"[HARD] The Commandos Are Fueling Their Weapons of War!","Complete Graveyard of War on Hard difficulty",5
419808,"TODO 8","Collect all secrets and talismans in Graveyard of War",3
419787,"The Commandos Are Mining for Atomics!","Complete Nuclear Mine without using passwords",2
419806,"[HARD] The Commandos Are Mining for Atomics!","Complete Nuclear Mine on Hard difficulty",5
419817,"TODO 9","Collect all secrets and talismans in Nuclear Mine",3
419796,"The Commando Space Fleet Is Preparing To Strike!","Complete Launch Center without using passwords",2
419811,"[HARD] The Commando Space Fleet Is Preparing To Strike!","Complete Launch Center on Hard difficulty",5
419818,"TODO 10","Collect all secrets and talismans in Launch Center",3
419797,"The Commando Home-World Is On the Alert!","Complete Ulhaden Fier without using passwords",2
419810,"[HARD] The Commando Home-World Is On the Alert!","Complete Ulhaden Fier on Hard difficulty",5
419795,"TODO 11","Collect all secrets and talismans in Ulhaden Fier",3
419798,"The Commandos Are Manning Their Defenses!","Complete Garrison Prime without using passwords",2
419812,"[HARD] The Commandos Are Manning Their Defenses!","Complete Garrison Prime on Hard difficulty",5
419819,"TODO 12","Collect all secrets and talismans in Garrison Prime",3
419788,"The War Ends Here!","Complete Inner Sanctum without using passwords",2
419791,"[HARD] The War Ends Here!","Complete Inner Sanctum on Hard difficulty",5
419809,"Death From Below","Collect all secrets and talismans in Inner Sanctum",3
420127,"[TBD] Gorgon challenge","TBD",5
420128,"The Gorgonites Are Peaceful. We Mean No Harm.","Collect all keys in Dimensional Temple without killing any enemies",5
420129,"Punch It Is Desperate To Hold It!","Reach the turret in Floating Fortress using only Punch It",5
420130,"[TBD] Spirit Bog challenge","TBD",5
420131,"Jump","Collect all keys in Canyon Village without jumping",5
420132,"[TBD] Creepy Caverns challenge","TBD",5
420133,"[TBD] Space Ship challenge","TBD",5
420134,"Commandos Are Everywhere!","Kill 100 enemies using the turret or walker in a single session in Hall of Patriots",5
420135,"[TBD] Graveyard of War challenge","TBD",5
420136,"[TBD] Nuclear Mine challenge","TBD",5
420137,"[TBD] Launch Center challenge","TBD",5
420138,"[TBD] Ulhaden Fier challenge","TBD",5
420139,"[TBD] Garrison Prime challenge","TBD",5
420140,"No Problemo!","Defeat Chip Hazard in Inner Sanctum without using the turret",25
111000022,"You Never Have to Replace the Battery","Have 9 lives on hard difficulty",5
420141,"Featuring Tommy Lee Jones","Win as Chip Hazard in 2 Players frag mode in any level",5
111000009,"Mission Accomplished! Dimensional Temple","Win as Chip Hazard in 2 Players flag mode in Dimensional Temple",1
111000013,"Mission Accomplished! Creepy Caverns","Win as Chip Hazard in 2 Players flag mode in Creepy Caverns",1
111000011,"Mission Accomplished! Spirit Bog","Win as Chip Hazard in 2 Players flag mode in Spirit Bog",1
111000015,"Mission Accomplished! Hall of Patriots","Win as Chip Hazard in 2 Players flag mode in Hall of Patriots",1
111000017,"Mission Accomplished! Nuclear Mine","Win as Chip Hazard in 2 Players flag mode in Nuclear Mine",1
111000020,"Mission Accomplished! Garrison Prime","Win as Chip Hazard in 2 Players flag mode in Garrison Prime",1
419685,"An Adventure Through the Heart of Our Most Dangerous Conflict","Watch the Medal of Honor promotional video",1
419820,"[VOID]","[VOID]",0
